order_id,item_id,product_id,quantity,list_price,discount,extract_date,source
1,1.0,20,1,599.99,0.2,2024-04-28 18:16:04.016490,postgre
1,2.0,8,2,1799.99,0.07,2024-04-28 18:16:04.016490,postgre
1,3.0,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre
1,4.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
1,5.0,4,1,2899.99,0.2,2024-04-28 18:16:04.016490,postgre
2,1.0,20,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre
2,2.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
3,1.0,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre
3,2.0,20,1,599.99,0.05,2024-04-28 18:16:04.016490,postgre
4,1.0,2,2,749.99,0.1,2024-04-28 18:16:04.016490,postgre
5,1.0,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre
2,2.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
3,1.0,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre
5,2.0,17,1,429.0,0.07,2024-04-28 18:16:04.016490,postgre
5,3.0,26,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre
6,1.0,18,1,449.0,0.07,2024-04-28 18:16:04.016490,postgre
6,2.0,12,2,549.99,0.05,2024-04-28 18:16:04.016490,postgre
6,3.0,20,1,599.99,0.1,2024-04-28 18:16:04.016490,postgre
6,4.0,3,2,999.99,0.07,2024-04-28 18:16:04.016490,postgre
6,5.0,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre
7,1.0,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre
7,2.0,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre
7,3.0,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre
6,5.0,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre
7,1.0,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre
7,2.0,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre
7,3.0,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre
8,1.0,22,1,269.99,0.05,2024-04-28 18:16:04.016490,postgre
8,2.0,20,2,599.99,0.07,2024-04-28 18:16:04.016490,postgre
9,1.0,7,2,3999.99,0.1,2024-04-28 18:16:04.016490,postgre
10,1.0,14,1,269.99,0.1,2024-04-28 18:16:04.016490,postgre
11,1.0,8,1,1799.99,0.05,2024-04-28 18:16:04.016490,postgre
11,2.0,22,2,269.99,0.1,2024-04-28 18:16:04.016490,postgre
11,3.0,16,2,599.99,0.2,2024-04-28 18:16:04.016490,postgre
12,1.0,4,2,2899.99,0.1,2024-04-28 18:16:04.016490,postgre
12,2.0,11,1,1680.99,0.05,2024-04-28 18:16:04.016490,postgre
13,1.0,13,1,269.99,0.1,2024-04-28 18:16:04.016490,postgre
13,2.0,17,2,429.0,0.05,2024-04-28 18:16:04.016490,postgre
13,3.0,20,2,599.99,0.1,2024-04-28 18:16:04.016490,postgre
13,4.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
14,1.0,6,1,469.99,0.07,2024-04-28 18:16:04.016490,postgre
15,1.0,12,2,549.99,0.07,2024-04-28 18:16:04.016490,postgre
15,2.0,8,1,1799.99,0.07,2024-04-28 18:16:04.016490,postgre
15,3.0,18,2,449.0,0.05,2024-04-28 18:16:04.016490,postgre
15,4.0,23,2,299.99,0.2,2024-04-28 18:16:04.016490,postgre
16,1.0,8,1,1799.99,0.2,2024-04-28 18:16:04.016490,postgre
16,2.0,21,1,269.99,0.05,2024-04-28 18:16:04.016490,postgre
16,3.0,13,2,269.99,0.07,2024-04-28 18:16:04.016490,postgre
16,4.0,14,1,269.99,0.07,2024-04-28 18:16:04.016490,postgre
17,1.0,8,1,1799.99,0.07,2024-04-28 18:16:04.016490,postgre
17,2.0,23,1,299.99,0.1,2024-04-28 18:16:04.016490,postgre
17,3.0,5,1,1320.99,0.1,2024-04-28 18:16:04.016490,postgre
17,4.0,20,2,599.99,0.2,2024-04-28 18:16:04.016490,postgre
18,1.0,2,2,749.99,0.2,2024-04-28 18:16:04.016490,postgre
18,2.0,22,1,269.99,0.05,2024-04-28 18:16:04.016490,postgre
18,3.0,7,1,3999.99,0.1,2024-04-28 18:16:04.016490,postgre
18,4.0,25,2,499.99,0.05,2024-04-28 18:16:04.016490,postgre
18,5.0,9,2,2999.99,0.1,2024-04-28 18:16:04.016490,postgre
